 tables_tested | indexes_tested | indexes_kept | indexes_rolled_back | avg_improvement_pct | max_improvement_pct 
---------------+----------------+--------------+---------------------+---------------------+---------------------
            29 |             38 |           27 |                  11 |               64.95 |               98.73
(1 row)


Tables Tested:
-------------
                 table_name                  | indexes_tested | kept | rolled_back | avg_improvement 
---------------------------------------------+----------------+------+-------------+-----------------
 xdat_change_info                            |              2 |    2 |           0 |           96.96
 xhbm_container_entity_environment_variables |              1 |    1 |           0 |           95.16
 xhbm_dicom_spatial_data                     |              2 |    2 |           0 |           87.44
 wrk_workflowdata_meta_data                  |              1 |    1 |           0 |           84.59
 xdat_user_login_meta_data                   |              1 |    1 |           0 |           81.53
 xnat_resource                               |              2 |    1 |           1 |           81.02
 xhbm_container_entity_mount                 |              1 |    1 |           0 |           80.84
 wrk_workflowdata                            |              1 |    1 |           0 |           77.40
 xhbm_container_entity_log_paths             |              2 |    2 |           0 |           76.85
 xnat_resourcecatalog_meta_data              |              1 |    1 |           0 |           71.12
 xhbm_container_entity                       |              1 |    1 |           0 |           69.65
 xnat_abstractresource_meta_data             |              1 |    1 |           0 |           69.27
 xnat_resource_meta_data                     |              1 |    1 |           0 |           68.49
 xnat_imagescandata                          |              3 |    2 |           1 |           60.99
 xdat_user_login                             |              3 |    3 |           0 |           59.12
 xnat_imagescandata_meta_data                |              1 |    1 |           0 |           35.21
 xs_item_cache                               |              2 |    2 |           0 |           34.22
 xnat_ctscandata_meta_data                   |              1 |    1 |           0 |           26.15
 xnat_experimentdata                         |              1 |    1 |           0 |           17.33
 xnat_imagesessiondata_history               |              1 |    1 |           0 |            5.59
 xdat_field_mapping                          |              1 |    0 |           1 |                
 xhbm_container_entity_container_labels      |              1 |    0 |           1 |                
 xhbm_container_entity_history               |              1 |    0 |           1 |                
 xhbm_container_entity_input                 |              1 |    0 |           1 |                
 xhbm_preference                             |              1 |    0 |           1 |                
 xnat_abstractresource                       |              1 |    0 |           1 |                
 xnat_addfield                               |              1 |    0 |           1 |                
 xnat_ctscandata                             |              1 |    0 |           1 |                
 xnat_resourcecatalog                        |              1 |    0 |           1 |                
(29 rows)

