 tables_tested | indexes_tested | indexes_kept | indexes_rolled_back | avg_improvement_pct | max_improvement_pct 
---------------+----------------+--------------+---------------------+---------------------+---------------------
            29 |             38 |           29 |                   9 |               67.71 |               98.01
(1 row)


Tables Tested:
-------------
                 table_name                  | indexes_tested | kept | rolled_back | avg_improvement 
---------------------------------------------+----------------+------+-------------+-----------------
 xdat_change_info                            |              2 |    1 |           1 |           98.01
 xhbm_container_entity_environment_variables |              1 |    1 |           0 |           94.50
 wrk_workflowdata_meta_data                  |              1 |    1 |           0 |           92.83
 xhbm_dicom_spatial_data                     |              2 |    2 |           0 |           89.88
 xnat_resource                               |              2 |    1 |           1 |           88.17
 wrk_workflowdata                            |              1 |    1 |           0 |           87.41
 xnat_resource_meta_data                     |              1 |    1 |           0 |           86.97
 xhbm_container_entity_log_paths             |              2 |    2 |           0 |           86.51
 xnat_resourcecatalog_meta_data              |              1 |    1 |           0 |           83.18
 xhbm_container_entity_mount                 |              1 |    1 |           0 |           82.06
 xdat_user_login                             |              3 |    2 |           1 |           82.00
 xdat_user_login_meta_data                   |              1 |    1 |           0 |           81.38
 xhbm_container_entity                       |              1 |    1 |           0 |           79.49
 xnat_abstractresource_meta_data             |              1 |    1 |           0 |           76.57
 xs_item_cache                               |              2 |    2 |           0 |           67.44
 xnat_ctscandata_meta_data                   |              1 |    1 |           0 |           59.15
 xhbm_container_entity_container_labels      |              1 |    1 |           0 |           52.62
 xnat_imagescandata                          |              3 |    2 |           1 |           50.94
 xnat_ctscandata                             |              1 |    1 |           0 |           37.51
 xnat_resourcecatalog                        |              1 |    1 |           0 |           32.50
 xnat_imagescandata_meta_data                |              1 |    1 |           0 |           28.89
 xdat_field_mapping                          |              1 |    1 |           0 |           21.50
 xhbm_preference                             |              1 |    1 |           0 |           14.88
 xnat_experimentdata                         |              1 |    1 |           0 |           12.59
 xhbm_container_entity_history               |              1 |    0 |           1 |                
 xhbm_container_entity_input                 |              1 |    0 |           1 |                
 xnat_abstractresource                       |              1 |    0 |           1 |                
 xnat_addfield                               |              1 |    0 |           1 |                
 xnat_imagesessiondata_history               |              1 |    0 |           1 |                
(29 rows)

