                  tablename                  |  size   | num_columns | num_indexes | row_count |                                                                                                                                                                                                                                              candidate_columns                                                                                                                                                                                                                                              
---------------------------------------------+---------+-------------+-------------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 xdat_change_info                            | 50 MB   |           6 |           6 |    257170 | change_user, comment, change_date, event_id, xdat_change_info_id, change_info_info
 xhbm_container_entity_input                 | 14 MB   |           6 |           2 |    122564 | name, type, container_entity
 xhbm_container_entity_history               | 14 MB   |           9 |           1 |     96133 | entity_id, entity_type, exit_code, external_timestamp, status, time_recorded, container_entity
 wrk_workflowdata                            | 13 MB   |          24 |           7 |     33804 | executionenvironment_wrk_abstractexecutionenvironment_id, description, src, type, category, data_type, scan_id, externalid, current_step_launch_time, current_step_id, status, create_user, pipeline_name, next_step_id, step_description, launch_time, percentagecomplete, jobid, workflowdata_info, wrk_workflowdata_id
 xdat_user_login                             | 12 MB   |           8 |           6 |     39896 | login_date, logout_date, session_id, ip_address, node_id, user_xdat_user_id, user_login_info, xdat_user_login_id
 xdat_user_login_meta_data                   | 11 MB   |          12 |           6 |     39649 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xhbm_dicom_spatial_data                     | 11 MB   |          14 |           1 |     25365 | created, disabled, frame_number, frame_of_reference_uid, image_orientation_patient, image_position_patient, pixel_spacing, series_uid, sop_class_uid, sop_instance_uid, study_uid
 wrk_workflowdata_meta_data                  | 9424 kB |          12 |           6 |     34262 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xhbm_container_entity_environment_variables | 8944 kB |           3 |           1 |     75801 | container_entity, environment_variables, environment_variables_key
 xhbm_container_entity                       | 6208 kB |          36 |           1 |     14682 | created, disabled, backend, command_id, container_id, container_name, docker_image, gpus, ipc_mode, limit_memory, network, node_id, parent_source_object_name, project, reserve_memory, runtime, service_id, shm_size, status, status_time, subtype, task_id, user_id, workflow_id, working_directory, wrapper_id, parent_container_entity
 xnat_resource                               | 6192 kB |           8 |           9 |     11661 | xnat_abstractresource_id, provenance_prov_process_id, format, description, content, cachepath, resource_info
 xhbm_container_entity_container_labels      | 5712 kB |           3 |           1 |     52826 | container_entity, container_labels, container_labels_key
 xhbm_container_entity_mount                 | 5624 kB |           8 |           1 |     27953 | container_host_path, container_path, mount_pvc_name, name, xnat_host_path, container_entity
 xnat_resourcecatalog_meta_data              | 4328 kB |          12 |           6 |     14626 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xnat_abstractresource_meta_data             | 4296 kB |          12 |           6 |     14626 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xnat_resource_meta_data                     | 4296 kB |          12 |           6 |     14626 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xnat_abstractresource                       | 4024 kB |           8 |           8 |     11661 | label, file_count, file_size, extension, abstractresource_info, xnat_abstractresource_id, xnat_imagescandata_xnat_imagescandata_id
 xnat_resourcecatalog                        | 2848 kB |           2 |           6 |     11661 | xnat_abstractresource_id, resourcecatalog_info
 xhbm_container_entity_output                | 2808 kB |          17 |           1 |     16326 | content, descritpion, format, from_command_output, from_output_handler, glob, handled_by_xnat_command_input, label, mount, name, path, type, via_wrapup_container, container_entity
 xs_item_cache                               | 2768 kB |           5 |           1 |      2212 | elementname, ids, create_date
 xnat_resource_history                       | 2440 kB |          14 |           1 |     11141 | change_user, resource_info, cachepath, previous_change_date, content, history_id, format, description, xnat_abstractresource_id, xft_version, change_date, provenance_prov_process_id, new_row_xnat_abstractresource_id
 xhbm_roi                                    | 2392 kB |           9 |           1 |     10247 | created, disabled, geometric_type, name, roi_collection_id, uid
 xnat_imagescandata                          | 2184 kB |          28 |           9 |      4542 | image_session_id, quality, condition, series_description, series_class, scanner, scanner_manufacturer, scanner_model, scanner_softwareversion, modality, frames, operator, validation_xnat_validationdata_id, requestedproceduredescription, protocolname, bodypartexamined, type, uid, project, extension, imagescandata_info, xnat_imagescandata_id
 xhbm_container_entity_log_paths             | 1888 kB |           2 |           0 |     18178 | container_entity, log_paths
 xnat_imagescandata_meta_data                | 1840 kB |          12 |           6 |      5384 | xft_version, last_modified, status, activation_date, row_last_modified, activation_user_xdat_user_id, insert_user_xdat_user_id, origin, modified, shareable, meta_data_id
 xnat_abstractresource_history               | 1448 kB |          14 |           1 |     11141 | change_user, abstractresource_info, file_count, previous_change_date, file_size, history_id, label, xnat_imagescandata_xnat_imagescandata_id, xnat_abstractresource_id, xft_version, change_date, extension, new_row_xnat_abstractresource_id
 xnat_experimentdata                         | 1408 kB |          20 |          11 |      2533 | duration, delay, delay_ref_expt_id, investigator_xnat_investigatordata_id, validation_xnat_validationdata_id, acquisition_site, project, visit_id, visit, version, original, protocol, label, extension, experimentdata_info
 xnat_ctscandata                             | 1264 kB |          40 |           8 |      2538 | xnat_imagescandata_id, parameters_voxelres_units, parameters_orientation, parameters_subjectposition, parameters_fov_x, parameters_fov_y, parameters_rescale_intercept, parameters_rescale_slope, parameters_acquisitionnumber, parameters_imagetype, parameters_rotationdirection, parameters_filter, parameters_convolutionkernel, parameters_estimateddosesaving_modulation, parameters_derivation, parameters_contrastbolus_xnat_contrastbolus_id, dcmvalidation, dcmvalidation_status, ctscandata_info
 xdat_field_mapping                          | 1248 kB |          11 |           6 |      3581 | field, field_value, create_element, read_element, edit_element, delete_element, active_element, comparison_type, field_mapping_info, xdat_field_mapping_id, xdat_field_mapping_set_xdat_field_mapping_set_id
 xnat_resourcecatalog_history                | 1136 kB |           8 |           1 |     11141 | xnat_abstractresource_id, xft_version, change_user, change_date, previous_change_date, history_id, resourcecatalog_info, new_row_xnat_abstractresource_id
(30 rows)

